chinese,pinyin,english,lesson
水,shuǐ ,water,1-1
水果,shuǐ guǒ ,fruit,2-3
水杯,shuǐ bēi ,water cup,2-19
汽水,qì shuǐ ,soda,2-24
跳水,tiào shuǐ ,dive,2-29
眼药水,yǎn yào shuǐ ,eye drops,3-2
洗发水,xǐ fā shuǐ ,shampoo,3-2
水瓶,shuǐ píng ,water bottle,3-11
咖啡,kā fēi ,coffee,1-1
咖啡馆,kā fēi guǎn ,cafe,2-21
和,hé ,and,1-1
暖和,nuǎn huó,warm,2-21
茶,chá,tea,1-1
奶茶,nǎi chá,milk tea,1-7
绿茶,lǜ chá,green tea,1-7
红茶,hóng chá ,black tea,2-20
米饭,mǐ fàn ,rice/food,1-1
爆米花,bào mǐ huā ,popcorn,2-3
玉米,yù mǐ ,corn,2-12
米,mǐ ,rice (raw),2-28
一米,yì mǐ ,one meter,2-30
饭馆,fàn guǎn ,restaurant (casual),1-6
晚饭,wǎn fàn ,dinner,2-3
做饭,zuò fàn ,cook,2-4
吃饭,chī fàn ,eat,2-4
早饭,zǎo fàn ,breakfast,2-8
午饭,wǔ fàn ,lunch,2-24
汤,tāng ,soup,1-1
热,rè ,hot,1-1
热闹,rè nào ,lively,2-2
热情,rè qíng ,enthusiastic,2-18
热狗,rè gǒu ,hot dog,3-16
这是,zhè shì ,this is,1-1
这,zhè ,this,1-7
这里,zhè lǐ ,here,1-8
这些,zhè xiē ,these,2-7
这次,zhè cì ,this time,3-1
这么,zhè me ,such,3-11
这几年,zhè jǐ nián,these past few years,3-17
是,shì ,am/is,1-2
还是,hái shì ,or (choice),1-10
是我,shì wǒ ,it’s me,2-8
我也是,wǒ yě shì ,so do I,2-29
但是,dàn shì ,but,3-18
粥,zhōu ,porridge,1-1
豆腐,dòu fu ,tofu,1-1
土豆,tǔ dòu ,potato,2-4
平时,píng shí ,usually,2-20
一路平安,yí lù píng ān ,safe travels,3-21
联系,lián xì ,contact,3-21
自行车,zì xíng chē ,bicycle,2-23
行李箱,xíng li xiāng ,suitcase,3-21
天安门,tiān ān mén ,tian an men,2-28
行李,xíng li ,luggage,1-8
流行,liú xíng ,in fashion,2-5
不行,bù xíng ,no,2-6
